Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity_category,cluster_1,cluster_2,cluster_3,best_feature,optimal_value,predicted_increase
0.0,Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68,2012,acoustic,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,240166,3,High,True,False,False,loudness,0.0,1.7034156650698158
1.0,Jason Mraz,93 Million Miles,1s8tP3jP4GZcyHDsjvw218,50,2012,acoustic,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216387,4,Medium,True,False,False,loudness,0.0,3.618097623006204
2.0,Joshua Hyslop,Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,57,2012,acoustic,0.409,0.234,3,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,139.832,158960,4,Medium,True,False,False,loudness,0.0,1.689442691823395
3.0,Boyce Avenue,Fast Car,63wsZUhUZLlh1OsyrZq7sz,58,2012,acoustic,0.392,0.251,10,-9.845,1,0.0363,0.807,0.0,0.0797,0.508,204.961,304293,4,Medium,True,False,False,valence,0.308,1.4990028427408433
4.0,Andrew Belle,Sky's Still Blue,6nXIYClvJAfi6ujLiKqEq8,54,2012,acoustic,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,244320,4,Medium,False,False,False,instrumentalness,0.0,3.53356369646324
5.0,Chris Smither,What They Say,24NvptbNKGs6sPy1Vh1O0v,48,2012,acoustic,0.566,0.57,2,-6.42,1,0.0329,0.688,1.73e-06,0.0943,0.96,83.403,166240,4,Medium,True,False,False,tempo,74.06933333333333,1.8683088041592697
6.0,Matt Wertz,Walking in a Winter Wonderland,0BP7hSvLAG3URGrEvNNbGM,48,2012,acoustic,0.575,0.606,9,-8.197,1,0.03,0.0119,0.0,0.0675,0.364,121.083,152307,4,Medium,False,False,False,danceability,0.7749999999999999,4.112867704857166
7.0,Green River Ordinance,Dancing Shoes,3Y6BuzQCg9p4yH347Nn8OW,45,2012,acoustic,0.586,0.423,7,-7.459,1,0.0261,0.252,5.83e-06,0.0976,0.318,138.133,232373,4,Medium,True,False,False,loudness,0.0,0.5989592578525098
8.0,Jason Mraz,Living in the Moment,3ce7k1L4EkZppZPz1EJWTS,44,2012,acoustic,0.65,0.628,7,-7.16,1,0.0232,0.0483,0.0,0.119,0.7,84.141,235080,4,Medium,False,False,False,loudness,0.0,4.216245828323665
9.0,Boyce Avenue,Heaven,2EKxmYmUdAVXlaHCnnW13o,58,2012,acoustic,0.619,0.28,8,-10.238,0,0.0317,0.73,0.0,0.103,0.292,129.948,250063,4,Medium,True,False,False,loudness,0.0,1.4828707010299986
10.0,Tristan Prettyman,Say Anything,1RjEDlhTp2iJXWPdLpa8OM,45,2012,acoustic,0.657,0.43,1,-10.202,1,0.0314,0.534,0.000238,0.12,0.335,91.967,236379,4,Medium,True,False,False,loudness,0.0,2.482922575140851
11.0,David Gray,Money (That's What I Want) - From Jim Beam's Live Music Series,38sSJ12azM6Mic7ajbHKBi,45,2012,acoustic,0.655,0.692,5,-6.217,1,0.0326,0.568,2.34e-05,0.119,0.547,121.455,234270,4,Medium,True,False,False,valence,0.347,1.3454608723341082
12.0,Boyce Avenue,Someone Like You,6VtoP2sJt5oCmPOQIve2sf,55,2012,acoustic,0.439,0.207,1,-9.573,1,0.0297,0.608,0.0,0.186,0.264,136.514,276147,4,Medium,True,False,False,liveness,0.0,3.0899242653478467
13.0,Jason Mraz,The Woman I Love,0AYG9AcwqEeqgAw3OvshPC,40,2012,acoustic,0.591,0.647,4,-8.34,1,0.0277,0.067,6.57e-05,0.231,0.678,79.68,190752,4,Medium,False,False,False,loudness,0.0,2.904022451612512
